"ID","Cluster"
"190813","1"
"190717","1"
"190264","1"
"189574","3"
"189250","1"
"189156","3"
"188802","3"
"188253","3"
"187735","3"
"187688","1"
"187491","1"
"186146","1"
"185221","3"
"185132","3"
"184392","3"
"184190","4"
"184111","1"
"183909","1"
"182002","3"
"178416","1"
"178311","1"
"177644","2"
"177604","3"
"177458","3"
"176915","3"
"176733","1"
"176376","3"
"176104","1"
"175379","1"
"173909","3"
"173521","3"
"173432","3"
"173373","2"
"173221","3"
"173208","3"
"172522","3"
"170370","3"
"170368","1"
"169705","3"
"169195","3"
"168530","4"
"167553","3"
"167514","3"
"165536","4"
"165526","4"
"164859","1"
"164835","2"
"163155","2"
"162369","1"
"162329","3"
"158232","1"
"157960","3"
"156713","3"
"150516","1"
"146460","3"
"143587","3"
"140293","2"
"139968","2"
"139668","2"
"138449","1"
"138412","3"
"134744","3"
"124635","3"
"112316","3"
"111661","2"
"53914","3"
"50542","1"
"48717","2"
"21146","3"
"230977","3"
"230142","1"
"227476","1"
"225647","2"
"225018","1"
"224334","3"
"221660","3"
"221130","2"
"220440","3"
"218339","3"
"216150","3"
"215466","4"
"215259","1"
"215057","3"
"213345","1"
"213150","2"
"212886","3"
"212602","3"
"212523","3"
"212501","3"
"212150","1"
"211688","3"
"211381","1"
"211354","3"
"211256","3"
"210864","3"
"210514","3"
"210413","4"
"208777","3"
"208128","1"
"207948","1"
"207441","1"
"206511","3"
"206113","1"
"205988","3"
"205923","3"
"205678","1"
"205525","1"
"205407","3"
"205175","1"
"205069","3"
"204638","4"
"204523","3"
"204311","3"
"204024","3"
"203757","1"
"203574","3"
"202642","3"
"202556","1"
"201988","4"
"201956","3"
"201858","1"
"201533","1"
"201377","3"
"201305","3"
"201262","3"
"201118","3"
"201049","4"
"201046","1"
"201042","3"
"200641","1"
"200458","3"
"200454","1"
"199977","3"
"199952","1"
"199852","1"
"199602","1"
"199576","3"
"199561","1"
"199550","3"
"198683","1"
"198077","1"
"197948","3"
"195363","3"
"194911","2"
"194174","1"
"193887","1"
"193171","3"
"192679","3"
"192565","1"
"191210","3"
"190875","3"
"190778","2"
"190544","1"
"190286","1"
"190243","2"
"190223","3"
"189963","1"
"189575","1"
"189433","4"
"189271","3"
"189169","1"
"188955","1"
"188524","2"
"188428","1"
"187457","3"
"187347","3"
"187324","4"
"186307","1"
"186148","2"
"186132","3"
"185103","3"
"184949","3"
"184881","1"
"184477","4"
"184069","1"
"183899","1"
"183893","3"
"183855","3"
"183666","2"
"183108","3"
"181402","3"
"180334","3"
"178424","3"
"177723","2"
"177578","4"
"177519","3"
"177159","3"
"176993","1"
"176944","3"
"176731","3"
"176571","3"
"176550","2"
"176285","4"
"176266","3"
"173474","3"
"173306","3"
"172962","3"
"172316","3"
"172290","3"
"172114","1"
"171791","4"
"170797","3"
"170733","1"
"169596","4"
"169588","4"
"168435","2"
