"ID","Cluster"
"190813","1"
"190717","1"
"190264","1"
"189574","1"
"189250","4"
"189156","1"
"188802","1"
"188253","1"
"187735","1"
"187688","1"
"187491","1"
"186146","1"
"185221","1"
"185132","1"
"184392","1"
"184190","3"
"184111","4"
"183909","1"
"182002","3"
"178416","1"
"178311","1"
"177644","2"
"177604","1"
"177458","3"
"176915","1"
"176733","4"
"176376","1"
"176104","1"
"175379","1"
"173909","1"
"173521","3"
"173432","3"
"173373","2"
"173221","1"
"173208","1"
"172522","1"
"170370","1"
"170368","1"
"169705","1"
"169195","1"
"168530","3"
"167553","1"
"167514","1"
"165536","3"
"165526","3"
"164859","1"
"164835","2"
"163155","2"
"162369","4"
"162329","1"
"158232","1"
"157960","1"
"156713","1"
"150516","1"
"146460","1"
"143587","1"
"140293","2"
"139968","2"
"139668","2"
"138449","1"
"138412","1"
"134744","1"
"124635","1"
"112316","1"
"111661","2"
"53914","3"
"50542","1"
"48717","2"
"21146","1"
"230977","1"
"230142","1"
"227476","1"
"225647","2"
"225018","1"
"224334","1"
"221660","3"
"221130","2"
"220440","3"
"218339","1"
"216150","1"
"215466","3"
"215259","1"
"215057","1"
"213345","1"
"213150","2"
"212886","1"
"212602","3"
"212523","1"
"212501","1"
"212150","1"
"211688","1"
"211381","1"
"211354","1"
"211256","1"
"210864","3"
"210514","1"
"210413","3"
"208777","1"
"208128","1"
"207948","1"
"207441","1"
"206511","1"
"206113","1"
"205988","1"
"205923","1"
"205678","1"
"205525","1"
"205407","1"
"205175","4"
"205069","1"
"204638","3"
"204523","1"
"204311","3"
"204024","1"
"203757","4"
"203574","3"
"202642","1"
"202556","1"
"201988","3"
"201956","3"
"201858","1"
"201533","1"
"201377","3"
"201305","1"
"201262","1"
"201118","1"
"201049","3"
"201046","1"
"201042","1"
"200641","1"
"200458","1"
"200454","4"
"199977","1"
"199952","1"
"199852","4"
"199602","4"
"199576","1"
"199561","1"
"199550","3"
"198683","1"
"198077","1"
"197948","3"
"195363","3"
"194911","2"
"194174","1"
"193887","1"
"193171","1"
"192679","1"
"192565","1"
"191210","1"
"190875","1"
"190778","2"
"190544","1"
"190286","1"
"190243","2"
"190223","1"
"189963","4"
"189575","1"
"189433","3"
"189271","1"
"189169","4"
"188955","1"
"188524","2"
"188428","1"
"187457","1"
"187347","1"
"187324","3"
"186307","1"
"186148","2"
"186132","1"
"185103","1"
"184949","1"
"184881","1"
"184477","3"
"184069","4"
"183899","1"
"183893","1"
"183855","3"
"183666","2"
"183108","1"
"181402","1"
"180334","3"
"178424","1"
"177723","2"
"177578","3"
"177519","3"
"177159","1"
"176993","1"
"176944","1"
"176731","1"
"176571","1"
"176550","2"
"176285","3"
"176266","1"
"173474","1"
"173306","1"
"172962","1"
"172316","1"
"172290","1"
"172114","1"
"171791","3"
"170797","1"
"170733","1"
"169596","3"
"169588","3"
"168435","2"
